month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2009-04-01,272600,277133.3333333333,-17200,-0.059351276742581116,-3466.666666666686,-0.012354478498455723
2009-05-01,259700,274033.3333333333,-12900,-0.047322083639031565,-3100,-0.01118595140726486
2009-06-01,259300,263866.6666666667,-400,-0.0015402387370042625,-10166.666666666628,-0.03710010947573272
2009-07-01,255300,258100,-4000,-0.015426147319706929,-5766.666666666686,-0.02185447195553314
2009-08-01,253100,255900,-2200,-0.008617312965139012,-2200,-0.008523827973653586
2009-09-01,255000,254466.66666666666,1900,0.00750691426313721,-1433.333333333343,-0.005601146281099423
2009-10-01,259900,256000,4900,0.01921568627450987,1533.333333333343,0.006025674613570953
2009-11-01,264900,259933.33333333334,5000,0.019238168526356292,3933.333333333343,0.015364583333333348
2009-12-01,268500,264433.3333333333,3600,0.013590033975084959,4499.999999999971,0.017312131315721846
2010-01-01,269800,267733.3333333333,1300,0.004841713221601429,3300,0.012479515946048236
2010-02-01,270300,269533.3333333333,500,0.0018532246108229344,1800,0.006723107569721165
2010-03-01,274100,271400,3800,0.014058453570107377,1866.666666666686,0.006925550333910513
2010-04-01,277300,273900,3200,0.011674571324334249,2500,0.009211495946941817
2010-05-01,279900,277100,2600,0.009376126938333895,3200,0.011683096020445483
2010-06-01,283000,280066.6666666667,3100,0.011075384065737826,2966.666666666686,0.010706122939973639
2010-07-01,278100,280333.3333333333,-4900,-0.017314487632508868,266.66666666662786,9.521542489880908e-4
2010-08-01,274200,278433.3333333333,-3900,-0.014023732470334394,-1900,-0.006777645659928666
2010-09-01,270200,274166.6666666667,-4000,-0.014587892049598872,-4266.666666666628,-0.015323835747635406
2010-10-01,265900,270100,-4300,-0.015914137675795748,-4066.666666666686,-0.014832826747720462
2010-11-01,264900,267000,-1000,-0.0037608123354644363,-3100,-0.011477230655312809
2010-12-01,260700,263833.3333333333,-4200,-0.015855039637599044,-3166.666666666686,-0.011860174781523125
2011-01-01,258100,261233.33333333334,-2600,-0.009973149213655552,-2599.999999999971,-0.009854706253948131
2011-02-01,260000,259600,1900,0.007361487795428223,-1633.333333333343,-0.006252392497129056
2011-03-01,257700,258600,-2300,-0.008846153846153837,-1000,-0.0038520801232665436
2011-04-01,257100,258266.66666666666,-600,-0.002328288707799775,-333.33333333334303,-0.001288992008249612
2011-05-01,257500,257433.33333333334,400,0.001555814858031912,-833.3333333333139,-0.0032266391326792876
2011-06-01,256800,257133.33333333334,-700,-0.0027184466019417597,-300,-0.0011653502524925363
2011-07-01,257700,257333.33333333334,900,0.0035046728971963592,200,7.778065854291416e-4
2011-08-01,256600,257033.33333333334,-1100,-0.004268529297632884,-300,-0.0011658031088083165
2011-09-01,256500,256933.33333333334,-100,-3.89711613406063e-4,-100,-3.8905459732851977e-4
2011-10-01,256700,256600,200,7.79727095516547e-4,-333.33333333334303,-0.0012973533990658925
2011-11-01,258000,257066.66666666666,1300,0.005064277366575665,466.66666666665697,0.0018186541958951086
2011-12-01,256400,257033.33333333334,-1600,-0.006201550387596955,-33.33333333331393,-1.2966804979241964e-4
2012-01-01,251250,255216.66666666666,-5150,-0.020085803432137284,-1816.666666666686,-0.00706782518480098
2012-02-01,250100,252583.33333333334,-1150,-0.0045771144278606846,-2633.333333333314,-0.010318030431659353
2012-03-01,249900,250416.66666666666,-200,-7.99680127948843e-4,-2166.666666666686,-0.008578027053777748
2012-04-01,251900,250633.33333333334,2000,0.00800320128051224,216.66666666668607,8.652246256239948e-4
2012-05-01,255300,252366.66666666666,3400,0.01349741961095674,1733.333333333314,0.006915813273041582
2012-06-01,257400,254866.66666666666,2100,0.008225616921269108,2500,0.009906221106855018
2012-07-01,258400,257033.33333333334,1000,0.0038850038850037905,2166.666666666686,0.008501177086058131
2012-08-01,260000,258600,1600,0.006191950464396356,1566.666666666657,0.006095188691479736
2012-09-01,261600,260000,1600,0.006153846153846176,1400,0.005413766434648082
2012-10-01,263000,261533.33333333334,1400,0.005351681957186605,1533.333333333343,0.005897435897435965
2012-11-01,264200,262933.3333333333,1200,0.004562737642585635,1399.999999999971,0.005353046138159456
2012-12-01,265300,264166.6666666667,1100,0.00416351249053748,1233.3333333333721,0.004690669371196998
2013-01-01,266400,265300,1100,0.004146249528835355,1133.333333333314,0.00429022082018915
2013-02-01,268000,266566.6666666667,1600,0.006006006006006093,1266.666666666686,0.004774469154416483
2013-03-01,269800,268066.6666666667,1800,0.006716417910447747,1500,0.0056271101663123435
2013-04-01,271400,269733.3333333333,1600,0.005930318754633124,1666.6666666666279,0.006217358865953537
2013-05-01,271900,271033.3333333333,500,0.0018422991893882745,1300,0.0048195748887789325
2013-06-01,272000,271766.6666666667,100,3.6778227289446797e-4,733.3333333333721,0.002705694256549096
2013-07-01,272100,272000,100,3.6764705882363913e-4,233.33333333331393,8.58579663927328e-4
2013-08-01,272463.63636363635,272187.8787878788,363.63636363635305,0.0013364070695933705,187.87878787878435,6.907308377896992e-4
2013-09-01,272563.63636363635,272375.75757575757,100,3.670214540723027e-4,187.87878787878435,6.902540580258076e-4
2013-10-01,272900,272642.42424242425,336.36363636364695,0.0012340737775999866,266.66666666668607,9.790396511060173e-4
2013-11-01,273181.8181818182,272881.8181818182,281.8181818181765,0.0010326793031079085,239.39393939392176,8.780509491841393e-4
2013-12-01,273327.2727272727,273136.36363636365,145.45454545452958,5.324459234608003e-4,254.54545454547042,9.328047439784992e-4
2014-01-01,273363.63636363635,273290.90909090906,36.36363636364695,1.3304064391683745e-4,154.5454545454122,5.658179397569629e-4
2014-02-01,273404.54545454547,273365.1515151515,40.90909090911737,1.496508147655895e-4,74.2424242424313,2.716607899231338e-4
2014-03-01,273404.54545454547,273390.9090909091,0,0,25.75757575762691,9.422406482628709e-5
2014-04-01,273504.54545454547,273437.8787878788,100,3.6575836672270157e-4,46.969696969666984,1.7180416541950905e-4
2014-05-01,273590.9090909091,273500,86.36363636364695,3.157667314819257e-4,62.12121212121565,2.2718583246983393e-4
